id,faq_topic_id,question,seo_name,answer,alternate_words,is_top_faq,sort,activate,deactivate,is_active,published,sequence
35,2,When will I be notified about my first service payment?,When-will-I-be-notified-about-my-first-service-payment,New Cricket customers will receive a text message notification with their bill amount and due date within 1 week after activating their Cricket service. However this payment is not due until the due date specified^ which should be at the end of your first bill cycle.,first bill^ billing^ bill pay^ billing statement^ first service payment^ service payment^ bill due^ bill due date,0,827,11/20/06 0:00,NULL,1,7/26/10 11:16,5
36,2,How is airtime charged to my account?,How-is-airtime-charged-to-my-account,With Cricket service^ customers receive unlimited local incoming and outgoing calls within their service area.&nbsp; Customers whose rate plan does not include unlimited long distance will have airtime charges rounded up to the nearest minute.&nbsp; For example^ a long distance call lasting 3 minutes and ten seconds would be rounded up to 4 minutes of airtime use.,charges^ fees^ fee^ long distance charges^ long distance^ roaming^ roaming charges,0,829,11/20/06 0:00,NULL,1,9/28/09 17:05,10
37,2,Can I stop billing while I am on vacation?,Can-I-stop-billing-while-I-am-on-vacation,No. By Cricket policy^ Cricket customers can no longer suspend their service while on vacation. ,bill stop^ vacation^ temporarily stop service^ vacation suspension plan,0,832,11/20/06 0:00,NULL,1,4/11/11 9:00,9
38,2,Can I change my billing due date?,Can-I-change-my-billing-due-date,No.&nbsp; When you establish an account with Cricket a billing cycle date is automatically issued.&nbsp; Your billing cycle date determines which day each month your payment is due.,bill due date^ due date^ bill cycle^ change bill due date^ change total due date,0,828,11/20/06 0:00,NULL,1,9/28/09 17:05,7
39,2,Can I have my bill sent to an address that is not in my local coverage area?,Can-I-have-my-bill-sent-to-an-address-that-is-not-in-myandnbsplocal-coverage-area,If you are a new Cricket customer you will receive a text message notification with your bill amount and due date within 1 week&nbsp;of your bill cycle end date.&nbsp;Existing customers who receive a paper bill can have a Cricket Customer Service Representative assist them in setting up an alternate billing address.&nbsp;Call 1-800-CRICKET or *611 from your Cricket phone for assistance.,change billing address^ bill address^ billing address^,0,830,11/20/06 0:00,NULL,1,7/26/10 11:18,8
40,202,What is Go Paperless?,What-is-Go-Paperless,Go Paperless is a service offered to Cricket customers who do not receive a physical^ paper statement in the mail each month.&nbsp; If you sign up for Go Paperless^ you will receive two bill notifications. One notification includes your detailed charges^ while the other is simply a reminder when your payment is due. The text messages are free and customers using this service will not be charged. Cricket customers can access account payment information at anytime by visiting the <a href="http://account.mycricket.com">My Account</a>&nbsp;section of this website or by calling 1-800-CRICKET.&nbsp;,pay by phone^ paperless bill pay^ paperless billing^ bill pay text messages^ free bill notification^ free billing statement,0,864,11/20/06 0:00,NULL,1,7/26/10 11:23,1
41,202,How do I sign up for Go Paperless?,How-do-I-sign-up-for-Go-Paperless,Cricket&reg; customers wanting to sign up for paperless billing can: 1. Sign up online by logging into <a href="https://account.mycricket.com/">My Account</a> and clicking on&nbsp;the&nbsp;"Go Paperless" link. 2. Call 1-800-CRICKET to speak with a Customer Service Representative.,account management^ pay by phone^ paperless billing^ paperless bill pay^ bill pay text messsages,0,866,11/20/06 0:00,NULL,1,10/26/09 13:19,5
42,2,Will I receive a notice of when my bill is due if I am on paperless billing?,Will-I-receive-a-notice-of-when-my-bill-is-due-if-I-am-on-paperless-billing,Yes.&nbsp; A text message will be sent to your Cricket&reg;&nbsp;phone each month with your due date and amount owed to continue service.&nbsp; Account information is also always available by calling 1-800-CRICKET or visiting the <a href="https://account.mycricket.com/">My Account</a>&nbsp;section of this website. ,,0,836,11/20/06 0:00,NULL,1,10/26/09 13:18,12
43,202,How do I make a payment if I am on Go Paperless?,How-do-I-make-a-payment-if-I-am-on-GoandnbspPaperless,<a href="http://www.mycricket.com/support/faq/How-do-I-pay-my-bill-each-month">Click here to see what payment methods are currently available.</a>,bill payment^ go paperless^ paperless billing^ paperless bill pay^ bill pay by text message^ bill pay options,0,867,11/20/06 0:00,NULL,1,6/17/10 14:40,2
44,202,What is the difference between Go Paperless and Automatic Bill Payment?,What-is-the-difference-between-Go-Paperless-and-Automatic-Bill_Payment,Customers signed up for Go Paperless or paperless billing must remember to make a payment each month in order to continue their Cricket service.&nbsp; Automatic Bill Payment customers will have payments automatically deducted each month from their credit or debit card. ,paperless billing^ paperless bill pay^ automatic bill pay^ auto bill pay^ auto bill payment^ bill pay^ bill payment options^,0,868,11/20/06 0:00,NULL,1,9/28/09 17:05,4
